0.20;-357.43
0.22;-316.86
0.23;-286.86
0.24;-253.33
0.25;-227.97
0.26;-199.58
0.27;-179.16
0.29;-161.90
0.30;-148.80
0.31;-135.58
0.32;-122.87
0.33;-111.33
0.34;-101.62
0.36;-92.62
0.37;-84.41
0.38;-76.96
0.39;-69.65
0.40;-62.63
0.41;-56.49
0.43;-51.17
0.44;-45.05
0.45;-40.39
0.46;-34.74
0.47;-29.95
0.48;-27.14
0.50;-23.03
0.51;-19.28
0.52;-15.80
0.53;-12.06
0.54;-8.76
0.55;-5.34
0.57;-2.52
0.58;1.16
0.59;3.37
0.60;5.36
0.61;7.61
0.62;9.58
0.64;10.89
0.65;12.85
0.66;14.55
0.67;15.94
0.68;17.17
0.69;18.27
0.71;19.11
0.72;19.91
0.73;20.89
0.74;21.41
0.75;22.10
0.76;22.61
0.78;22.94
0.79;23.17
0.80;23.62
0.81;23.56
0.81;23.37
0.80;23.60
0.79;24.03
0.78;24.17
0.76;24.64
0.75;24.93
0.74;25.70
0.73;26.15
0.72;27.06
0.71;27.96
0.69;28.80
0.68;29.49
0.67;30.45
0.66;31.35
0.65;32.38
0.64;33.05
0.62;34.20
0.61;35.34
0.60;36.16
0.59;37.45
0.58;38.58
0.57;39.91
0.55;41.12
0.54;42.16
0.53;43.51
0.52;44.66
0.51;45.91
0.50;47.22
0.48;48.36
0.47;49.63
0.46;50.78
0.45;51.82
0.44;53.15
0.43;54.34
0.41;55.67
0.40;56.65
0.39;57.88
0.38;58.92
0.37;60.09
0.36;61.30
0.34;62.34
0.33;63.55
0.32;64.76
0.31;65.90
0.30;66.80
0.29;68.15
0.27;69.18
0.26;70.26
0.25;71.20
0.24;72.33
0.23;73.37
0.22;74.52
0.20;75.50
